name,fan_cost,ac_count,room_count,link_count 
house20350,3351111.11111,1.0,5.0,5.0 
house20351,3264444.44444,2.0,5.0,6.0 
house20352,5315555.55556,2.0,9.0,7.0 
house20353,10400000.0,1.0,5.0,3.0 
house20354,3264444.44444,1.0,4.0,3.0 
house20355,6240000.0,3.0,7.0,8.0 
house20356,3091111.11111,2.0,5.0,4.0 
house20357,3351111.11111,3.0,7.0,5.0 
house20358,3322222.22222,3.0,9.0,12.0 
house20359,3524444.44444,1.0,5.0,6.0 
house20360,3351111.11111,1.0,4.0,3.0 
house20361,3784444.44444,1.0,8.0,10.0 
house20362,3177777.77778,3.0,9.0,11.0 
house20363,3351111.11111,2.0,8.0,8.0 
house20364,3004444.44444,1.0,3.0,3.0 
house20365,10400000.0,1.0,5.0,3.0 
house20366,2773333.33333,2.0,5.0,6.0 
house20367,2802222.22222,3.0,7.0,10.0 
house20368,3264444.44444,1.0,4.0,5.0 
house20369,5315555.55556,2.0,7.0,9.0 
house20370,3784444.44444,3.0,7.0,7.0 
house20371,3697777.77778,3.0,7.0,9.0 
house20372,4044444.44444,2.0,6.0,5.0 
house20373,10400000.0,2.0,6.0,4.0 
house20374,10400000.0,2.0,5.0,5.0 
house20375,3351111.11111,2.0,7.0,8.0 
house20376,3264444.44444,1.0,4.0,4.0 
house20377,3437777.77778,3.0,8.0,6.0 
house20378,10400000.0,1.0,3.0,1.0 
house20379,3264444.44444,1.0,5.0,6.0 
house20380,10400000.0,2.0,6.0,3.0 
house20381,10400000.0,3.0,7.0,6.0 
house20382,4651111.11111,1.0,8.0,10.0 
house20383,3264444.44444,1.0,4.0,4.0 
house20384,3264444.44444,1.0,4.0,5.0 
house20385,3784444.44444,2.0,5.0,4.0 
house20386,3524444.44444,1.0,6.0,8.0 
house20387,3524444.44444,1.0,7.0,9.0 
house20388,2975555.55556,1.0,3.0,2.0 
house20389,3697777.77778,1.0,5.0,6.0 
house20390,5315555.55556,2.0,7.0,8.0 
house20391,3524444.44444,1.0,7.0,9.0 
house20392,3148888.88889,2.0,5.0,6.0 
house20393,3062222.22222,2.0,6.0,6.0 
house20394,3524444.44444,1.0,7.0,9.0 
house20395,3177777.77778,2.0,5.0,5.0 
house20396,3177777.77778,1.0,4.0,5.0 
house20397,3004444.44444,1.0,4.0,5.0 
house20398,3091111.11111,2.0,6.0,7.0 
house20399,5431111.11111,1.0,7.0,8.0 
house20400,10400000.0,3.0,9.0,8.0 
house20401,3177777.77778,1.0,5.0,6.0 
house20402,10400000.0,2.0,6.0,3.0 
house20403,5720000.0,1.0,9.0,10.0 
house20404,3091111.11111,3.0,8.0,8.0 
house20405,3437777.77778,2.0,7.0,7.0 
house20406,3524444.44444,1.0,5.0,7.0 
house20407,3784444.44444,1.0,4.0,4.0 
house20408,3351111.11111,1.0,6.0,7.0 
house20409,5344444.44444,1.0,7.0,6.0 
house20410,3524444.44444,1.0,8.0,10.0 
house20411,10400000.0,1.0,4.0,2.0 
house20412,3611111.11111,1.0,8.0,8.0 
house20413,3091111.11111,1.0,5.0,7.0 
house20414,5315555.55556,3.0,8.0,9.0 
house20415,10400000.0,2.0,5.0,4.0 
house20416,10400000.0,3.0,8.0,5.0 
house20417,10400000.0,3.0,7.0,5.0 
house20418,3351111.11111,2.0,5.0,5.0 
house20419,3784444.44444,2.0,6.0,4.0 
house20420,10400000.0,1.0,5.0,3.0 
house20421,3264444.44444,1.0,5.0,6.0 
house20422,10400000.0,1.0,6.0,4.0 
house20423,5315555.55556,1.0,6.0,7.0 
house20424,3611111.11111,1.0,6.0,5.0 
house20425,3091111.11111,1.0,4.0,5.0 
house20426,3004444.44444,3.0,7.0,9.0 
house20427,3004444.44444,1.0,4.0,5.0 
house20428,2773333.33333,2.0,6.0,7.0 
house20429,3957777.77778,1.0,6.0,6.0 
house20430,3177777.77778,1.0,4.0,5.0 
house20431,2917777.77778,1.0,3.0,3.0 
house20432,2773333.33333,2.0,5.0,3.0 
house20433,3351111.11111,1.0,5.0,6.0 
house20434,2773333.33333,2.0,5.0,4.0 
house20435,10400000.0,3.0,8.0,5.0 
house20436,3784444.44444,1.0,6.0,7.0 
house20437,10400000.0,2.0,6.0,5.0 
house20438,3062222.22222,1.0,5.0,6.0 
house20439,10400000.0,2.0,6.0,3.0 
house20440,5315555.55556,3.0,7.0,5.0 
house20441,3437777.77778,1.0,7.0,7.0 
house20442,10400000.0,2.0,6.0,4.0 
house20443,3091111.11111,2.0,8.0,10.0 
house20444,3177777.77778,2.0,6.0,8.0 
house20445,10400000.0,2.0,7.0,4.0 
house20446,3351111.11111,1.0,4.0,3.0 
house20447,3697777.77778,2.0,6.0,5.0 
house20448,3264444.44444,2.0,6.0,5.0 
house20449,5373333.33333,1.0,5.0,4.0 
house20450,3177777.77778,1.0,6.0,8.0 
house20451,10400000.0,1.0,4.0,2.0 
house20452,3351111.11111,1.0,6.0,6.0 
house20453,3177777.77778,2.0,6.0,7.0 
house20454,10400000.0,3.0,7.0,6.0 
house20455,3091111.11111,1.0,4.0,5.0 
house20456,5315555.55556,1.0,7.0,8.0 
house20457,3351111.11111,1.0,6.0,8.0 
house20458,3177777.77778,1.0,5.0,6.0 
house20459,3004444.44444,2.0,5.0,4.0 
house20460,10400000.0,2.0,7.0,5.0 
house20461,5315555.55556,1.0,8.0,10.0 
house20462,3437777.77778,1.0,5.0,5.0 
house20463,10400000.0,1.0,5.0,3.0 
house20464,3062222.22222,1.0,4.0,4.0 
house20465,3004444.44444,2.0,5.0,6.0 
house20466,10400000.0,3.0,8.0,7.0 
house20467,2773333.33333,2.0,5.0,6.0 
house20468,5633333.33333,1.0,7.0,8.0 
house20469,5315555.55556,4.0,9.0,11.0 
house20470,3264444.44444,1.0,7.0,9.0 
house20471,3091111.11111,3.0,9.0,13.0 
house20472,3351111.11111,1.0,5.0,6.0 
house20473,3177777.77778,1.0,4.0,4.0 
house20474,3351111.11111,3.0,8.0,9.0 
house20475,3091111.11111,1.0,4.0,5.0 
house20476,5344444.44444,1.0,10.0,13.0 
house20477,3351111.11111,3.0,8.0,10.0 
house20478,3437777.77778,2.0,8.0,10.0 
house20479,3177777.77778,1.0,4.0,3.0 
house20480,4564444.44444,3.0,9.0,11.0 
house20481,3264444.44444,1.0,5.0,5.0 
house20482,10400000.0,1.0,6.0,5.0 
house20483,10400000.0,1.0,4.0,3.0 
house20484,3437777.77778,1.0,4.0,4.0 
house20485,2802222.22222,2.0,5.0,5.0 
house20486,2773333.33333,1.0,3.0,3.0 
house20487,4131111.11111,2.0,8.0,7.0 
house20488,3177777.77778,2.0,6.0,4.0 
house20489,3871111.11111,1.0,8.0,9.0 
house20490,10400000.0,3.0,7.0,5.0 
house20491,3524444.44444,1.0,7.0,8.0 
house20492,5315555.55556,2.0,7.0,7.0 
house20493,3091111.11111,3.0,7.0,7.0 
house20494,3351111.11111,2.0,7.0,8.0 
house20495,3697777.77778,3.0,7.0,7.0 
