name,fan_cost,ac_count,room_count,link_count 
house0342,5315555.55556,1.0,7.0,7.0 
house0343,3177777.77778,2.0,7.0,9.0 
house0344,10400000.0,1.0,4.0,2.0 
house0345,3177777.77778,1.0,4.0,5.0 
house0346,3004444.44444,1.0,3.0,3.0 
house0347,3437777.77778,2.0,5.0,4.0 
house0348,2773333.33333,2.0,5.0,6.0 
house0349,4304444.44444,2.0,6.0,6.0 
house0350,2773333.33333,3.0,7.0,8.0 
house0351,2802222.22222,3.0,7.0,9.0 
house0352,3351111.11111,1.0,5.0,6.0 
house0353,10400000.0,1.0,7.0,7.0 
house0354,3177777.77778,2.0,7.0,9.0 
house0355,3611111.11111,1.0,7.0,9.0 
house0356,4131111.11111,2.0,9.0,9.0 
house0357,3437777.77778,2.0,8.0,10.0 
house0358,3004444.44444,1.0,3.0,3.0 
house0359,5315555.55556,1.0,5.0,5.0 
house0360,3091111.11111,3.0,7.0,4.0 
house0361,4131111.11111,2.0,6.0,4.0 
house0362,3351111.11111,1.0,6.0,7.0 
house0363,3437777.77778,1.0,4.0,3.0 
house0364,3004444.44444,3.0,7.0,9.0 
house0365,3264444.44444,1.0,6.0,7.0 
house0366,3524444.44444,3.0,7.0,6.0 
house0367,10400000.0,2.0,7.0,4.0 
house0368,5315555.55556,3.0,9.0,8.0 
house0369,10400000.0,1.0,3.0,1.0 
house0370,5315555.55556,2.0,6.0,6.0 
house0371,3524444.44444,1.0,6.0,5.0 
house0372,3611111.11111,2.0,6.0,6.0 
house0373,3177777.77778,1.0,3.0,2.0 
house0374,5315555.55556,1.0,4.0,3.0 
house0375,3177777.77778,2.0,5.0,6.0 
house0376,4044444.44444,2.0,7.0,8.0 
house0377,3524444.44444,1.0,4.0,4.0 
house0378,10400000.0,2.0,6.0,3.0 
house0379,3784444.44444,1.0,6.0,7.0 
house0380,5344444.44444,1.0,10.0,13.0 
house0381,3264444.44444,2.0,6.0,7.0 
house0382,3524444.44444,1.0,8.0,7.0 
house0383,3697777.77778,2.0,8.0,10.0 
house0384,5315555.55556,3.0,9.0,9.0 
house0385,3264444.44444,1.0,5.0,6.0 
house0386,3524444.44444,2.0,8.0,9.0 
house0387,3004444.44444,2.0,6.0,6.0 
house0388,5315555.55556,1.0,6.0,6.0 
house0389,10400000.0,1.0,3.0,1.0 
house0390,3351111.11111,1.0,4.0,4.0 
house0391,5315555.55556,1.0,8.0,10.0 
house0392,3062222.22222,2.0,6.0,8.0 
house0393,10400000.0,2.0,5.0,1.0 
house0394,3351111.11111,2.0,7.0,8.0 
house0395,10400000.0,1.0,4.0,2.0 
house0396,10400000.0,1.0,3.0,1.0 
house0397,3437777.77778,1.0,4.0,4.0 
house0398,3091111.11111,1.0,3.0,2.0 
house0399,2773333.33333,3.0,7.0,9.0 
house0400,3351111.11111,1.0,6.0,5.0 
house0401,3091111.11111,3.0,7.0,9.0 
house0402,10400000.0,1.0,5.0,3.0 
house0403,10400000.0,1.0,4.0,3.0 
house0404,10400000.0,2.0,7.0,5.0 
house0405,3004444.44444,2.0,6.0,8.0 
house0406,3091111.11111,1.0,4.0,3.0 
house0407,3957777.77778,1.0,7.0,9.0 
house0408,3177777.77778,2.0,6.0,8.0 
house0409,3264444.44444,3.0,8.0,10.0 
house0410,4391111.11111,2.0,8.0,8.0 
house0411,3004444.44444,2.0,6.0,8.0 
house0412,10400000.0,2.0,5.0,3.0 
house0413,10400000.0,1.0,4.0,2.0 
house0414,3091111.11111,2.0,6.0,7.0 
house0415,4217777.77778,1.0,8.0,10.0 
house0416,3437777.77778,1.0,6.0,7.0 
house0417,2773333.33333,3.0,7.0,9.0 
house0418,3957777.77778,1.0,6.0,7.0 
house0419,3351111.11111,1.0,5.0,5.0 
house0420,3351111.11111,3.0,8.0,7.0 
house0421,2975555.55556,1.0,4.0,5.0 
house0422,3177777.77778,2.0,6.0,8.0 
house0423,3264444.44444,1.0,3.0,2.0 
house0424,3264444.44444,1.0,5.0,6.0 
house0425,3524444.44444,1.0,7.0,9.0 
house0426,10400000.0,3.0,8.0,3.0 
house0427,10400000.0,2.0,5.0,1.0 
house0428,2773333.33333,2.0,6.0,7.0 
house0429,3437777.77778,1.0,6.0,8.0 
house0430,3004444.44444,1.0,5.0,7.0 
house0431,10400000.0,2.0,6.0,5.0 
house0432,5315555.55556,1.0,7.0,7.0 
house0433,3264444.44444,3.0,9.0,7.0 
